,subject,task,session_idx,outcome_idx,outcome,estimate,hidden_parameter,did_change_point_occur,sequence_id
0,5d671e5f6c4d1700183102f9,ada-pos,0,0,0.34607905690761825,0.4031250000000002,0.3715333792140876,True,61
1,5d671e5f6c4d1700183102f9,ada-pos,0,1,0.40582596084123895,0.4062500000000003,0.3715333792140876,False,61
2,5d671e5f6c4d1700183102f9,ada-pos,0,2,0.3283293172530021,0.35000000000000026,0.3715333792140876,False,61
3,5d671e5f6c4d1700183102f9,ada-pos,0,3,0.3520348600446236,0.35000000000000026,0.3715333792140876,False,61
4,5d671e5f6c4d1700183102f9,ada-pos,0,4,0.4103605935699676,0.41718750000000027,0.3715333792140876,False,61
5,5d671e5f6c4d1700183102f9,ada-pos,0,5,0.3887486046163084,0.3875000000000003,0.3715333792140876,False,61
6,5d671e5f6c4d1700183102f9,ada-pos,0,6,0.36922359501743757,0.37968750000000023,0.3715333792140876,False,61
7,5d671e5f6c4d1700183102f9,ada-pos,0,7,0.40096765252501104,0.4078125000000003,0.3715333792140876,False,61
8,5d671e5f6c4d1700183102f9,ada-pos,0,8,0.33924957305264325,0.3453125000000003,0.3715333792140876,False,61
9,5d671e5f6c4d1700183102f9,ada-pos,0,9,0.38662714387286906,0.38906250000000037,0.3715333792140876,False,61
10,5d671e5f6c4d1700183102f9,ada-pos,0,10,0.39344931875549993,0.3968750000000005,0.3715333792140876,False,61
11,5d671e5f6c4d1700183102f9,ada-pos,0,11,0.3606103949665262,0.36718750000000033,0.3715333792140876,False,61
12,5d671e5f6c4d1700183102f9,ada-pos,0,12,0.3236748721212841,0.33906250000000027,0.3715333792140876,False,61
13,5d671e5f6c4d1700183102f9,ada-pos,0,13,0.41968091915030137,0.40156250000000027,0.3715333792140876,False,61
14,5d671e5f6c4d1700183102f9,ada-pos,0,14,0.42872769475953987,0.4140625000000004,0.3715333792140876,False,61
15,5d671e5f6c4d1700183102f9,ada-pos,0,15,0.3668861722410799,0.38437500000000036,0.3715333792140876,False,61
16,5d671e5f6c4d1700183102f9,ada-pos,0,16,0.38636427825018516,0.38437500000000036,0.3715333792140876,False,61
17,5d671e5f6c4d1700183102f9,ada-pos,0,17,0.2924058250850861,0.3125000000000003,0.3715333792140876,False,61
18,5d671e5f6c4d1700183102f9,ada-pos,0,18,0.3962889751982405,0.37812500000000043,0.3715333792140876,False,61
19,5d671e5f6c4d1700183102f9,ada-pos,0,19,0.348201013520994,0.35312500000000036,0.3715333792140876,False,61
20,5d671e5f6c4d1700183102f9,ada-pos,0,20,0.6198820902702258,0.5984375000000004,0.5437338486301334,True,61
21,5d671e5f6c4d1700183102f9,ada-pos,0,21,0.4081906291511773,0.42343750000000047,0.5437338486301334,False,61
22,5d671e5f6c4d1700183102f9,ada-pos,0,22,0.5217241527142217,0.5078125000000004,0.5437338486301334,False,61
23,5d671e5f6c4d1700183102f9,ada-pos,0,23,0.5175399039780069,0.5078125000000004,0.5437338486301334,False,61
24,5d671e5f6c4d1700183102f9,ada-pos,0,24,0.5205871564898492,0.5078125000000004,0.5437338486301334,False,61
25,5d671e5f6c4d1700183102f9,ada-pos,0,25,0.49532810228471735,0.4984375000000003,0.5437338486301334,False,61
26,5d671e5f6c4d1700183102f9,ada-pos,0,26,0.5193528189124772,0.5187500000000006,0.5437338486301334,False,61
27,5d671e5f6c4d1700183102f9,ada-pos,0,27,0.5111254044340643,0.5062500000000005,0.5437338486301334,False,61
28,5d671e5f6c4d1700183102f9,ada-pos,0,28,0.5206588519507316,0.5328125000000004,0.5437338486301334,False,61
29,5d671e5f6c4d1700183102f9,ada-pos,0,29,0.49338168702570584,0.5000000000000002,0.5437338486301334,False,61
30,5d671e5f6c4d1700183102f9,ada-pos,0,30,0.5304514768435821,0.5046875000000003,0.5437338486301334,False,61
31,5d671e5f6c4d1700183102f9,ada-pos,0,31,0.5971480238889577,0.5437500000000004,0.5437338486301334,False,61
32,5d671e5f6c4d1700183102f9,ada-pos,0,32,0.5278254718438588,0.5437500000000004,0.5437338486301334,False,61
33,5d671e5f6c4d1700183102f9,ada-pos,0,33,0.5316833219959978,0.5437500000000004,0.5437338486301334,False,61
34,5d671e5f6c4d1700183102f9,ada-pos,0,34,0.5363790149811416,0.5437500000000004,0.5437338486301334,False,61
35,5d671e5f6c4d1700183102f9,ada-pos,0,35,0.5163606748476879,0.5406250000000004,0.5437338486301334,False,61
36,5d671e5f6c4d1700183102f9,ada-pos,0,36,0.5555467194723002,0.5406250000000004,0.5437338486301334,False,61
37,5d671e5f6c4d1700183102f9,ada-pos,0,37,0.6186654577294913,0.5937500000000009,0.5437338486301334,False,61
38,5d671e5f6c4d1700183102f9,ada-pos,0,38,0.4871632001000369,0.5015625000000005,0.5437338486301334,False,61
39,5d671e5f6c4d1700183102f9,ada-pos,0,39,0.5783698253900266,0.5593750000000007,0.5437338486301334,False,61
40,5d671e5f6c4d1700183102f9,ada-pos,0,40,0.5415928815892017,0.5593750000000007,0.5437338486301334,False,61
