,0
Number of sequences effectively considered in the analysis,150.0
Median across sequences of the number of subject estimations per sequence,10.0
Mean across sequences of the number of subject estimations per sequence,9.6
Proportion of total MSE attributed to bias (%),17.26707029239572
Proportion of total MSE attributed to variance (%),82.73292970760428
Standard error of the proportion of bias estimated by bootstrapping (%),0.7244981163970297
Proportion of total MSE explained by the linear bias (%),3.225892494451736
Standard error of the proportion of linear bias estimated by bootstrapping (%),0.5342958758820026
