,task,measure,r,p,is_partial_corr
0,ada-prob,update-freq,0.9816385669342172,1.931331296409189e-69,False
1,ada-prob,coef-z-uncertainty,0.7367261604532526,1.7455001470853164e-17,True
2,ada-prob,coef-z-cpp,0.9514513450701819,2.2209646143466968e-49,True
3,ada-pos,update-freq,0.947409091313995,2.6574106123386176e-48,False
4,ada-pos,coef-z-uncertainty,0.37992187857740906,0.00014621040002832852,True
5,ada-pos,coef-z-cpp,0.6390831653798892,3.1839071237209836e-12,True
