,measure,r,p,is_partial_corr
0,update-freq,0.6314447022554525,5.294601319657018e-12,False
1,coef-z-uncertainty,0.25595953918070335,0.012293202514990761,True
2,coef-z-cpp,-0.010181593561508218,0.9219905088647709,True
