,0
Mean of slope,0.9487224358388998
S.e.m. of slope,0.010704126196495592
Standard deviation of slope,0.1043309166781247
t-statistic of t-test against 0,88.6314696242558
p-value of t-test against 0,3.8683856397484475e-93
t-statistic of t-test against 1,-4.790448395300858
p-value of t-test against 1,6.123417459337767e-06
dof,95.0
