,0
Mean of pearsonr,0.7974983077813423
S.e.m. of pearsonr,0.01429587291472202
Standard deviation of pearsonr,0.1393389332793202
t-statistic of t-test against 0,55.78521245527242
p-value of t-test against 0,2.0920110381342733e-74
dof,95.0
