Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63ef3ed3ce359e20c3a2a14b,5adf6992dee8590001b060a8,APPROVED,2023-02-17T08:46:11.366000Z,2023-02-17T09:35:19.969000Z,2023-02-17T14:47:53.752000,2023-02-17T09:35:20.363014Z,2949,CJ8EQCN9,372,"Italian, English",Yes,30,Male,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
63ef40678adc9a1241fbbd70,603259f5a5c8a321c9f3baab,APPROVED,2023-02-17T08:52:58.902000Z,2023-02-17T09:49:11.253000Z,2023-02-17T14:50:52.822000,2023-02-17T09:49:11.577369Z,3373,CJ8EQCN9,138,"English, Portuguese",Yes,35,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63ef4bf320fd4176d401eda6,62da689228c4a8004c8d789d,APPROVED,2023-02-17T09:42:20.396000Z,2023-02-17T10:34:46.969000Z,2023-02-17T14:53:41.878000,2023-02-17T10:34:47.448725Z,3147,CJ8EQCN9,191,"Chinese, English, Malay",Yes,26,Female,Asian,Malaysia,United Kingdom,Malaysia,English,No,Full-Time
63ef4bf37aecd89b52871f5e,63c5335da2b625ab1ade7e7c,APPROVED,2023-02-17T09:44:00.373000Z,2023-02-17T11:36:06.384000Z,2023-02-17T14:56:34.731000,2023-02-17T11:36:07.169170Z,6727,CJ8EQCN9,50,"English, Italian",Yes,23,Female,White,Italy,Germany,Italy,Italian,No,Full-Time
63ef5a0b32b4f0a7a5f7f70c,5e440e4f19962228cf949247,APPROVED,2023-02-17T10:42:19.876000Z,2023-02-17T11:40:47.888000Z,2023-02-17T15:02:39.496000,2023-02-17T11:40:48.420047Z,3509,CJ8EQCN9,582,"French, English",Yes,35,Male,White,France,France,France,French,No,Full-Time
63ef5a0ce53b4c1976e356a7,5fbbf3f438be4c025df6cdd4,APPROVED,2023-02-17T10:42:25.197000Z,2023-02-17T11:42:07.199000Z,2023-02-17T15:07:00.042000,2023-02-17T11:42:07.682043Z,3583,CJ8EQCN9,357,"Italian, English",Yes,30,Male,White,Italy,Italy,Italy,Italian,Yes,Part-Time
