Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63da43f0f2bbabd9fc802dd6,5f2843ca47f0291234bda8a4,APPROVED,2023-02-01T10:50:37.383000Z,2023-02-01T11:45:58.176000Z,2023-02-01T14:27:54.861000,2023-02-01T11:45:58.653987Z,3321,CJ8EQCN9,332,"Italian, English",Yes,29,Male,White,Italy,Italy,Italy,Italian,Yes,Other
63da45dfb306c2f7795bdf2b,5f983f3b00bbab0c4b28149a,APPROVED,2023-02-01T10:58:39.726000Z,2023-02-01T11:56:58.255000Z,2023-02-01T14:36:06.064000,2023-02-01T11:56:58.676155Z,3499,CJ8EQCN9,395,"English, Portuguese",Yes,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63da7c7bd1d8b23ea2fb7704,5c573e54e9813700018acc31,APPROVED,2023-02-01T14:51:40.460000Z,2023-02-01T15:51:09.663000Z,2023-02-01T16:41:39.579000,2023-02-01T15:51:10.318661Z,3570,CJ8EQCN9,753,"English, Portuguese",Yes,29,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63da7cafa8610a9ddf97b391,5b0710e7a84dcf0001beee8a,APPROVED,2023-02-01T14:52:36.216000Z,2023-02-01T15:49:19.742000Z,2023-02-01T16:49:27.447000,2023-02-01T15:49:20.121104Z,3404,CJ8EQCN9,1276,English,Yes,56,Female,Mixed,Singapore,United Kingdom,United Kingdom,English,No,Part-Time
