Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63ed048e873ca4765fdb4358,603cda0428bb60ad9dc80260,APPROVED,2023-02-15T16:13:14.852000Z,2023-02-15T17:11:03.675000Z,2023-02-15T17:32:27.227000,2023-02-15T17:11:20.385051Z,3469,CJ8EQCN9,96,"Portuguese, English",Yes,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63ed04b3de1d41b2f0e999ff,5f315af6d221ae0e7843dc13,APPROVED,2023-02-15T16:13:39.335000Z,2023-02-15T17:08:39.486000Z,2023-02-15T17:36:43.924000,2023-02-15T17:08:40.725642Z,3301,63ed04b3de1d41b2f0e999ff,705,"English, Portuguese",Yes,20,Male,White,Portugal,Portugal,United States,Portuguese,DATA_EXPIRED,DATA_EXPIRED
63ed04ba3753506ba0f2630a,6148afc156c049b69cde0d5e,APPROVED,2023-02-15T16:14:03.464000Z,2023-02-15T17:26:19.803000Z,2023-02-15T17:40:30.093000,2023-02-15T17:26:22.656236Z,4337,CJ8EQCN9,142,"Catalan, English, Italian, Spanish",Yes,20,Female,White,Spain,Spain,Spain,Catalan,Yes,Part-Time
63ede567a6e60b5da72b664e,5d373c58d8bf24001dc16884,APPROVED,2023-02-16T08:12:23.534000Z,2023-02-16T10:09:24.531000Z,2023-02-16T12:56:33.410000,2023-02-16T10:09:24.946522Z,7021,NOCODE,603,English,Yes,27,Female,White,Spain,Spain,Spain,Spanish,No,Other
63ede5b22ddb75214a08f359,5e75e37c0a52831469c2eb53,APPROVED,2023-02-16T08:13:44.483000Z,2023-02-16T09:12:38.880000Z,2023-02-16T13:11:14.635000,2023-02-16T09:12:39.237733Z,3535,NOCODE,612,"Lithuanian, English",Yes,28,Male,White,Lithuania,Spain,Lithuania,Lithuanian,No,Full-Time
63edf37d83631f1f2ce7bb88,638070625c26e262f2163254,APPROVED,2023-02-16T09:12:57.380000Z,2023-02-16T10:08:18.974000Z,2023-02-16T13:14:46.137000,2023-02-16T10:08:19.562628Z,3322,NOCODE,161,English,Yes,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63edf37e7f1fc5fd98cd2dd7,614ae1ff6ce7323ce438fe37,APPROVED,2023-02-16T09:13:31.473000Z,2023-02-16T10:27:19.955000Z,2023-02-16T13:18:51.070000,2023-02-16T10:27:20.296548Z,4429,CJ8EQCN9,212,English,Yes,30,Female,White,Ireland,United Kingdom,Ireland,English,Yes,Part-Time
63ee0164ac373d3cce573200,5df50a49a98a7a3924e4137e,APPROVED,2023-02-16T10:18:23.231000Z,2023-02-16T11:37:35.065000Z,2023-02-16T13:26:13.611000,2023-02-16T11:37:35.535675Z,4752,CJ8EQCN9,593,"English, Portuguese",Yes,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63ee0168a452b58a04cb0eec,62fcabf17fc3d7ef0952fb6c,APPROVED,2023-02-16T10:12:33.435000Z,2023-02-16T11:02:03.823000Z,2023-02-16T13:22:36.587000,2023-02-16T11:02:04.206067Z,2971,CJ8EQCN9,210,English,Yes,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
