,0
Num. female,38
Num. male,58
Age median,30.0
Age interquartile range,"(25.0, 37.25)"
Age mean,33.4375
Age sd,11.623761960108403
Num. different countries of birth,21
Num. different countries of residence,11
Num. different nationalities,19
