Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63ecfd9a5679c0226ce6dc0d,60197530194e72083ebeacc3,APPROVED,2023-02-15T15:43:43.488000Z,2023-02-15T16:35:15.212000Z,2023-02-15T17:20:51.528000,2023-02-15T16:35:15.623139Z,3092,CJ8EQCN9,81,"English, Italian, Spanish",Yes,23,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
63ecfda4d937c35dfbe4f0e4,5ee3e800e1640f0bedd43489,APPROVED,2023-02-15T15:43:43.806000Z,2023-02-15T16:49:27.153000Z,2023-02-15T17:25:03.507000,2023-02-15T16:49:31.581622Z,3944,NOCODE,113,"English, Portuguese, Spanish",Yes,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63ecfdc374b37aaf596b3919,5ee623674afa60375e30eec3,APPROVED,2023-02-15T15:44:03.860000Z,2023-02-15T16:36:08.841000Z,2023-02-15T17:28:59.861000,2023-02-15T16:36:09.337359Z,3125,CJ8EQCN9,270,"English, Portuguese",Yes,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63edec8637a0538080256744,597753716721f5000122608f,APPROVED,2023-02-16T08:42:48.006000Z,2023-02-16T10:04:04.258000Z,2023-02-16T13:33:13.682000,2023-02-16T10:04:04.642229Z,4877,NOCODE,190,"English, Galician, Portuguese, Spanish",Yes,30,Female,White,Spain,France,Spain,Spanish,No,Full-Time
63edec8a2605406a22f0cad3,6310a3ffc3b0a98b26445843,APPROVED,2023-02-16T08:43:24.323000Z,2023-02-16T10:04:23.794000Z,2023-02-16T13:37:08.577000,2023-02-16T10:04:24.207634Z,4860,CJ8EQCN9,206,"English, Dutch",Yes,28,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
63edfb1925babd9ab1c78978,604e7009ec21c0e9b6990c6f,APPROVED,2023-02-16T09:45:08.708000Z,2023-02-16T10:36:28.455000Z,2023-02-16T13:45:06.809000,2023-02-16T10:36:28.880929Z,3080,CJ8EQCN9,240,English,Yes,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63edfb1a63f8a38c3c26a63a,63d7c49b6034452ab6c2a7e8,APPROVED,2023-02-16T09:45:01.991000Z,2023-02-16T10:47:37.639000Z,2023-02-16T13:41:09.797000,2023-02-16T10:47:38.059351Z,3756,63edfb1a63f8a38c3c26a63a,48,"English, Italian",Yes,32,Male,White,Italy,United Kingdom,Italy,English,No,Full-Time
63ee087c8c189eb53ccb0f07,604b169fe4b7991ec08da3a6,APPROVED,2023-02-16T10:42:04.883000Z,2023-02-16T12:55:00.277000Z,2023-02-16T13:50:04.360000,2023-02-16T12:55:00.823867Z,7976,NOCODE,1496,"English, German",Yes,31,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
63ee087e22ffe92e035731bc,63d7cd776c3b50b48eabd288,APPROVED,2023-02-16T10:49:12.694000Z,2023-02-16T11:42:40.119000Z,2023-02-16T13:55:42.538000,2023-02-16T11:42:40.480501Z,3208,CJ8EQCN9,26,English,Yes,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
